"pID","Effective Precipitation (mm)_med","Elevation (m)_med","Frost-Free Days_med","Growing Degree Days (degrees C)_med","Mean Annual Air Temperature (degrees C)_med","Mean Annual Precipitation (mm)_med","Slope Gradient (%)_med"
51,-233.423324584961,1299,98,1419,8.10481643676758,353,1
52,-202.3876953125,1297,96,1424,8.11094093322754,379,0
53,-275.987243652344,1232,100,1389,8.04233169555664,292,0
54,-227.692794799805,1297,99,1421,8.15864849090576,357,0
55,-275.870483398438,1237,101,1373,7.96690368652344,290,3
56,-216.427001953125,1299,96,1421,8.06009387969971,367,0
57,-271.013610839844,1242,100,1369,7.94904613494873,293,1
58,-292.712158203125,1247,100,1360,7.94711399078369,278,0
59,-274.530517578125,1232,101,1371,7.95816707611084,290,0
60,-275.870483398438,1236,101,1373,7.96690368652344,290,3
61,-273.772979736328,1237,99,1385,8.00544166564941,294,0
62,-249.651351928711,1254,112,1348,8.07011699676514,333,0
63,-255.485427856445,1239,102,1363,7.98928642272949,317,1
64,-227.800918579102,1275.5,110,1345,8.04183959960938,349,3
65,-203.111907958984,1359,94,1348,7.7500376701355,350,4
66,-253.804794311523,1262,99,1365,7.88490152359009,316,0
67,-260.112487792969,1244.5,104,1359,7.99202632904053,310,1
68,-272.321502685547,1236,101,1369,7.95435237884521,292,0
69,-268.581024169922,1249,99,1381,7.95115661621094,297,0
70,-188.478424072266,1362,92,1353,7.7078070640564,364,2
71,-192.279556274414,1283,102,1347,7.88650798797607,374,0
72,-201.666641235352,1277,99,1350,7.86947679519653,365,0
73,-253.777328491211,1247,100,1358,7.91689968109131,312,1
74,-215.608581542969,1309,91,1366,7.77069807052612,348,2
75,-200.67936706543,1320,90,1369,7.76266622543335,360,4
76,-251.236923217773,1238,102,1362,7.98928642272949,324,0
77,-259.179046630859,1259,98,1374,7.95390653610229,309,1
78,-291.829315185547,1250,102,1358,7.94045162200928,280,0
79,-251.236923217773,1238,103,1362,8.00375556945801,324,0
80,-214.343322753906,1308,91,1363,7.81774854660034,347,2
81,-256.967407226562,1251,112,1349,8.08692646026611,328,0
82,-246.573654174805,1268,96,1366,7.8762378692627,324,0
83,-240.462646484375,1268,94,1383,7.93593645095825,321,1
84,-243.102416992188,1242,102,1360,7.97738981246948,331,0
85,-243.102416992188,1238,102,1360,7.97738981246948,331,0
86,-258.847198486328,1244,106,1353,7.99169301986694,317,0
87,-265.021057128906,1250,103,1353,7.96614599227905,308,0
88,-253.556518554688,1248,111,1355,8.1055850982666,331,0
89,-294.740386962891,1247,102,1360,7.94674158096313,277,0
90,-261.651977539062,1243,101,1363,7.95476102828979,306,0
91,-278.076873779297,1234,100,1382,7.9559473991394,287,0
92,-220.434463500977,1309,92,1358,7.77124643325806,341,2
93,-276.220001220703,1235,100,1372,7.94623184204102,289,0
94,-257.180938720703,1242,102,1362,7.99120187759399,315,0
95,-253.448928833008,1259,96,1387,7.98215293884277,311,1
96,-234.249710083008,1264,111,1344,8.0346565246582,344,1
97,-257.807220458984,1260,98,1355,7.87186288833618,301,1
98,-275.360198974609,1233,101,1373,7.96690368652344,290,0
99,-270.339935302734,1240,101,1367,7.94823312759399,294,0
100,-241.283966064453,1240,104,1353,7.96948099136353,334,3
101,-257.180938720703,1242,102,1362,7.99120187759399,315,0
102,-112.329154968262,1262,99,1297,7.66606664657593,440,0
103,-260.175659179688,1260,98,1354,7.88212013244629,301,1
104,-259.719665527344,1242,101,1363,7.96463251113892,310,0
105,-259.741058349609,1238,101,1363,7.98221158981323,311,1
106,-272.785278320312,1255,100,1352,7.90808057785034,293,1
107,-241.601974487305,1242,108,1348,7.98933601379395,334,2
108,-257.384674072266,1242,100,1363,7.96100997924805,312,0
109,-263.066223144531,1245,104,1355,7.97778749465942,309,0
110,-251.236923217773,1238,103,1362,8.00375556945801,324,0
111,-252.415817260742,1261,98,1364,7.89191007614136,316,0
112,-264.292022705078,1267,99,1373,7.91946125030518,301,1
113,-278.232543945312,1234,100,1375,7.95507383346558,287,0
114,-206.715454101562,1288,110,1335,7.97971439361572,365,2
115,-258.267486572266,1246,113,1355,8.1171236038208,328,0
116,-252.325927734375,1247,109,1351,8.0422945022583,327,2
117,-262.764862060547,1249,111,1356,8.10692691802979,325,0
118,-213.145797729492,1249,110,1356,8.09097576141357,364,0
119,-258.402893066406,1245,111,1353,8.05650901794434,324,0
120,-251.729858398438,1263,91,1389,7.89765119552612,308,0
121,-250.178237915039,1246,108,1349,8.00522136688232,329,0
122,-246.474990844727,1270,93,1383,7.90194416046143,313,1
123,-260.295684814453,1245,111,1354,8.06458759307861,323,0
124,-201.749328613281,1276,109,1339,7.96823072433472,366,2
125,-251.84114074707,1253,111,1347,8.01235771179199,328,0
126,-252.017776489258,1246,112,1354,8.11024570465088,332,0
127,-250.853759765625,1249,109,1347,8.02477836608887,328,0
128,-180.022491455078,1248,110,1352,8.07292175292969,396,0
129,-261.352844238281,1254,99,1378,8.00204372406006,307,0
130,-191.316665649414,1279,97,1351,7.83037567138672,369,1
131,-245.645721435547,1246,111,1354,8.0947322845459,336,0
132,-258.402893066406,1246,111,1353,8.05650901794434,324,0
133,-251.285293579102,1259,111,1348,8.06143188476562,330,2
134,-257.287048339844,1261,92,1387,7.901939868927,305,0
135,-250.559509277344,1260,111,1349,8.02954387664795,330,1
136,-253.170989990234,1256.5,111,1347,8.02604484558105,327,1
137,-207.963607788086,1261,105,1351,7.93867301940918,362,1
138,-263.570861816406,1246,108,1351,8.00853443145752,316,0
139,-240.692443847656,1262,111,1345,8.03032684326172,337,1
140,-191.050735473633,1280,99,1350,7.85885715484619,369,1
141,-253.699310302734,1242,106,1353,7.99036931991577,323,1
142,-259.404907226562,1246,112,1351,8.08358287811279,325,0
143,-247.056793212891,1252,108,1347,7.9997820854187,331,0
144,-198.035018920898,1346,92,1356,7.75636768341064,355,2
145,-185.80256652832,1279,100,1350,7.87114477157593,377,0
146,-239.268920898438,1246.5,110,1350,8.064453125,340,1
147,-251.285293579102,1256,111,1349,8.07066822052002,330,0
148,-259.727813720703,1245,110,1353,8.05342102050781,322,0
149,-260.85888671875,1245,111,1351,8.06925964355469,324,0
150,-232.606857299805,1269,111,1343,8.04496288299561,346,0
151,-238.823944091797,1250,108,1347,7.99315881729126,337,1
152,-271.793426513672,1240,100,1371,7.9427285194397,291,0
153,-220.499801635742,1270,109,1338,7.9922981262207,355,1
154,-184.392593383789,1404,95,1334,7.663489818573,363,2
155,-199.009567260742,1327,96,1369,7.87730884552002,350,1
156,-231.8544921875,1284,94,1375,7.90889883041382,325,1
157,-236.226974487305,1281,95,1366,7.81713914871216,333,1
158,-257.968292236328,1247,111,1351,8.05851459503174,325,0
159,-99.5519790649414,1264,99,1297,7.65963220596313,448,0
160,-249.5615234375,1259,111,1349,8.08036994934082,333,4
161,-249.20719909668,1247,112,1354,8.09679698944092,334,0
162,-259.649108886719,1250,100,1369,7.99041986465454,308,0
163,-137.876525878906,1247,108,1350,8.04075908660889,439,0
164,-257.232604980469,1244,109,1353,8.06031894683838,324,0
165,-257.766845703125,1245,108,1351,8.04358005523682,323,0
166,-137.876525878906,1248,108,1350,8.04075908660889,439,0
167,-248.3759765625,1268,90,1385,7.88170194625854,310,1
168,-250.411727905273,1245.5,109,1351,8.04149436950684,329,0
169,-257.766845703125,1242,108,1351,8.04358005523682,323,1
170,-156.30891418457,1280,97,1351,7.79246997833252,403,1
171,-253.818054199219,1259,98,1380,7.97207450866699,314,0
172,-259.188629150391,1257,99,1377,7.98384475708008,308,0
173,-259.459167480469,1256,99,1372,7.95976257324219,308,0
174,-257.305328369141,1255.5,100,1370,7.98136329650879,310,1
175,-196.168701171875,1274,108,1342,7.97500228881836,373,2
176,-250.411727905273,1244,109,1351,8.04149436950684,329,0
177,-259.404907226562,1246,112,1351,8.08358287811279,325,0
178,-244.852645874023,1262,95,1381,7.95407867431641,318,1
179,-199.457931518555,1287,109,1334,7.96552085876465,373,0
180,-249.130264282227,1253,109,1348,8.02799415588379,330,0
181,-242.654006958008,1271,91,1380,7.85750293731689,315,1
182,-253.170989990234,1256,111,1347,8.02604484558105,327,0
183,-240.53434753418,1256,109,1346,8.00521755218506,337,1
184,-246.422988891602,1244,108,1348,8.01529312133789,332,4
185,-255.026260375977,1248,113,1352,8.10546779632568,330,0
186,-252.325927734375,1244,109,1351,8.0422945022583,327,0
187,-249.843109130859,1264,92,1390,7.90889263153076,309,1
188,-224.779113769531,1254,101,1350,7.9195408821106,343,0
189,-233.526306152344,1258,107,1344,7.99149513244629,342,1
190,-258.402893066406,1244,111,1353,8.05650901794434,324,0
191,-249.651351928711,1254,112,1348,8.07011699676514,333,0
192,-255.485427856445,1239,102,1363,7.98928642272949,317,1
193,-227.800918579102,1276,110,1345,8.04183959960938,349,3
194,-203.111907958984,1359,94,1348,7.7500376701355,350,4
195,-253.804794311523,1262,99,1365,7.88490152359009,316,0
196,-260.112487792969,1245,104,1359,7.99202632904053,310,1
197,-272.538330078125,1236,101,1369,7.95435237884521,292,0
198,-268.581024169922,1249,99,1381,7.95115661621094,297,0
199,-188.478424072266,1362,92,1353,7.7078070640564,364,2
200,-192.279556274414,1283,102,1347,7.88650798797607,374,0
201,-201.666641235352,1277,99,1350,7.86947679519653,365,0
202,-253.777328491211,1247,100,1358,7.91689968109131,312,1
203,-215.608581542969,1309,91,1366,7.77069807052612,348,2
204,-200.67936706543,1320,90,1369,7.76266622543335,360,3
205,-251.236923217773,1238,102,1362,7.98928642272949,324,0
206,-259.179046630859,1259,98,1374,7.95390653610229,309,1
207,-291.829315185547,1250,102,1358,7.94138813018799,280,0
208,-251.236923217773,1238,103,1362,8.00375556945801,324,0
209,-214.343322753906,1308,91,1363,7.81774854660034,347,2
210,-256.367706298828,1251,112,1349,8.08692646026611,329,0
211,-246.573654174805,1268,96,1366,7.8762378692627,324,0
212,-240.462646484375,1268,94,1383,7.93593645095825,321,1
213,-243.102416992188,1242,102,1360,7.97738981246948,331,0
214,-243.102416992188,1238,102,1360,7.97738981246948,331,0
215,-258.847198486328,1244,106,1353,7.99169301986694,317,0
216,-265.021057128906,1250.5,103,1353,7.96614599227905,308,0
217,-253.556518554688,1248,111,1355,8.1055850982666,331,0
218,-294.740386962891,1246,102,1360,7.94674158096313,277,0
219,-261.651977539062,1243,101,1363,7.95476102828979,306,0
220,-278.076873779297,1234,100,1382,7.9559473991394,287,0
221,-220.434463500977,1308,92,1358,7.77124643325806,341,2
222,-276.220001220703,1235,100,1372,7.94623184204102,289,0
223,-257.180938720703,1242,102,1362,7.99120187759399,315,0
224,-253.448928833008,1259,96,1387,7.98215293884277,311,1
225,-234.249710083008,1264,111,1344,8.0346565246582,344,1
226,-257.807220458984,1260,98,1355,7.87186288833618,301,1
227,-275.360198974609,1234,101,1373,7.96690368652344,290,0
228,-270.339935302734,1240,101,1367,7.94823312759399,294,0
229,-241.283966064453,1240,104,1353,7.96948099136353,334,4
230,-257.180938720703,1242,102,1362,7.99120187759399,315,0
231,-112.329154968262,1262,99,1297,7.66606664657593,440,0
232,-260.175659179688,1260,98,1354,7.88212013244629,301,1
233,-259.719665527344,1242,101,1363,7.96463251113892,310,0
234,-259.741058349609,1238,101,1363,7.98221158981323,311,1
235,-272.785278320312,1255,100,1352,7.90808057785034,293,1
236,-241.601974487305,1241.5,108,1348,7.98933601379395,334,2
237,-257.384674072266,1242,100,1363,7.96100997924805,312,0
238,-263.066223144531,1245,104,1355,7.97778749465942,309,0
239,-251.236923217773,1238,103,1362,8.00375556945801,324,1
240,-252.415817260742,1261,98,1364,7.89191007614136,316,0
241,-264.292022705078,1267,99,1373,7.91946125030518,301,1
242,-278.232543945312,1234,100,1375,7.95507383346558,287,0
243,-206.715454101562,1288,110,1335,7.97971439361572,365,2
244,-258.267486572266,1246,113,1355,8.1171236038208,328,0
245,-252.325927734375,1245,109,1351,8.0422945022583,327,2
246,-262.764862060547,1249,111,1356,8.10692691802979,325,0
247,-213.145797729492,1249,110,1356,8.09097576141357,364,0
248,-258.402893066406,1245,111,1353,8.05650901794434,324,0
249,-251.729858398438,1263,91,1389,7.89765119552612,308,0
250,-250.178237915039,1246,108,1349,8.00522136688232,329,0
251,-246.474990844727,1270,93,1383,7.90194416046143,313,1
252,-260.295684814453,1245,111,1354,8.06458759307861,323,0
253,-201.749328613281,1275,109,1339,7.96823072433472,366,2
254,-251.84114074707,1253,111,1347,8.01235771179199,328,0
255,-252.017776489258,1246,112,1354,8.11024570465088,332,0
256,-250.853759765625,1249,109,1347,8.02477836608887,328,0
257,-180.022491455078,1248,110,1352,8.07292175292969,396,0
258,-261.352844238281,1254,99,1378,8.00204372406006,307,0
259,-191.316665649414,1278,97,1351,7.83037567138672,369,1
260,-245.645721435547,1246,111,1354,8.0947322845459,336,0
261,-258.402893066406,1246,111,1353,8.05650901794434,324,0
262,-251.285293579102,1259,111,1348,8.06143188476562,330,2
263,-257.287048339844,1261,92,1387,7.901939868927,305,0
264,-250.559509277344,1259.5,111,1349,8.02954387664795,330,1
265,-253.170989990234,1257,111,1347,8.02604484558105,327,1
266,-207.963607788086,1261,105,1351,7.93867301940918,362,1
267,-263.570861816406,1246,108,1351,8.00853443145752,316,0
268,-240.692443847656,1262,111,1345,8.03032684326172,337,1
269,-191.050735473633,1280,99,1350,7.85885715484619,369,1
270,-253.699310302734,1242,106,1353,7.99036931991577,323,1
271,-259.404907226562,1246,112,1351,8.08358287811279,325,0
272,-247.056793212891,1251,108,1347,7.9997820854187,331,0
273,-198.035018920898,1346,92,1356,7.75636768341064,355,2
274,-185.80256652832,1279,100,1350,7.86947679519653,377,0
275,-239.268920898438,1246,110,1350,8.064453125,340,1
276,-251.285293579102,1256,111,1349,8.07066822052002,330,0
277,-259.727813720703,1245,110,1353,8.05798149108887,322,0
278,-260.85888671875,1245,111,1351,8.06925964355469,324,0
279,-232.606857299805,1269,111,1343,8.04496288299561,346,0
280,-238.823944091797,1250.5,108,1347,7.99315881729126,337,1
281,-271.793426513672,1240,100,1371,7.9427285194397,291,0
282,-220.499801635742,1270,109,1338,7.9922981262207,355,1
283,-184.392593383789,1404,95,1334,7.663489818573,363,2
284,-199.009567260742,1327,96,1369,7.87730884552002,350,1
285,-231.8544921875,1284,94,1375,7.90889883041382,325,1
286,-236.226974487305,1281,95,1366,7.81713914871216,333,1
287,-257.968292236328,1247,111,1351,8.05851459503174,325,0
288,-99.5519790649414,1264,99,1297,7.65963220596313,448,0
289,-249.5615234375,1260,111,1349,8.08036994934082,333,4
290,-249.20719909668,1247,112,1354,8.09679698944092,334,0
291,-259.649108886719,1251,100,1369,7.99041986465454,308,0
292,-137.876525878906,1247,108,1350,8.04075908660889,439,0
293,-257.232604980469,1244,109,1353,8.06031894683838,324,0
294,-257.766845703125,1245,108,1351,8.04358005523682,323,0
295,-137.876525878906,1248,108,1350,8.04075908660889,439,0
296,-248.3759765625,1268,90,1385,7.88170194625854,310,1
297,-250.411727905273,1246,109,1351,8.04149436950684,329,0
298,-257.766845703125,1242,108,1351,8.04358005523682,323,1
299,-156.30891418457,1280,97,1351,7.79246997833252,403,1
300,-253.818054199219,1259,98,1380,7.97207450866699,314,0
301,-259.188629150391,1257,99,1377,7.98384475708008,308,0
302,-259.459167480469,1256,99,1372,7.95976257324219,308,0
303,-257.305328369141,1255,100,1370,7.98136329650879,310,1
304,-196.168701171875,1274.5,108,1342,7.97500228881836,373,2
305,-250.411727905273,1244,109,1351,8.04149436950684,329,0
306,-259.404907226562,1246,112,1351,8.08358287811279,325,0
307,-244.852645874023,1262,95,1381,7.95407867431641,318,1
308,-199.457931518555,1287,109,1334,7.96552085876465,373,0
309,-249.130264282227,1253,109,1348,8.02799415588379,330,0
310,-242.654006958008,1271,91,1380,7.85750293731689,315,1
311,-253.170989990234,1256,111,1347,8.02604484558105,327,1
312,-240.53434753418,1256,109,1346,8.00521755218506,337,1
313,-246.422988891602,1244,108,1348,8.01529312133789,332,5
314,-255.026260375977,1248,113,1352,8.10546779632568,330,0
315,-252.325927734375,1244,109,1351,8.0422945022583,327,0
316,-249.843109130859,1264,92,1390,7.90889263153076,309,1
317,-224.779113769531,1254,101,1350,7.9195408821106,343,0
318,-233.526306152344,1258,107,1344,7.99149513244629,342,1
319,-258.402893066406,1244,111,1353,8.05650901794434,324,0
